id,smiles,HOMO_Boltz,HOMO_Vbur_min,HOMO_low_E,HOMO_max,HOMO_min,LUMO_Boltz,LUMO_Vbur_min,LUMO_low_E,LUMO_max,LUMO_min,SASA_sphericity_Boltz,SASA_sphericity_Vbur_min,SASA_sphericity_low_E,SASA_sphericity_max,SASA_sphericity_min,SASA_surface_area(Å²)_Boltz,SASA_surface_area(Å²)_Vbur_min,SASA_surface_area(Å²)_low_E,SASA_surface_area(Å²)_max,SASA_surface_area(Å²)_min,SASA_volume(Å³)_Boltz,SASA_volume(Å³)_Vbur_min,SASA_volume(Å³)_low_E,SASA_volume(Å³)_max,SASA_volume(Å³)_min,dipole(Debye)_Boltz,dipole(Debye)_Vbur_min,dipole(Debye)_low_E,dipole(Debye)_max,dipole(Debye)_min,polar_aniso(Debye)_Boltz,polar_aniso(Debye)_Vbur_min,polar_aniso(Debye)_low_E,polar_aniso(Debye)_max,polar_aniso(Debye)_min,polar_iso(Debye)_Boltz,polar_iso(Debye)_Vbur_min,polar_iso(Debye)_low_E,polar_iso(Debye)_max,polar_iso(Debye)_min,volume(Bohr_radius³/mol)_Boltz,volume(Bohr_radius³/mol)_Vbur_min,volume(Bohr_radius³/mol)_low_E,volume(Bohr_radius³/mol)_max,volume(Bohr_radius³/mol)_min,η_Boltz,η_Vbur_min,η_low_E,η_max,η_min,μ_Boltz,μ_Vbur_min,μ_low_E,μ_max,μ_min,ω_Boltz,ω_Vbur_min,ω_low_E,ω_max,ω_min
pyrmd1,NC1=NC(C)=C(C(OCC)=O)C=N1,-0.2926625749837412,-0.29283,-0.29266,-0.29225,-0.29283,-0.01189984296255111,-0.01226,-0.01175,-0.01175,-0.01226,0.8667558188749545,0.8694238040966833,0.8642710651078981,0.875555293132332,0.8642710651078981,374.4760776281744,372.0598993322511,376.2197671338326,376.2197671338326,369.92954947513,549.8435789405432,547.0668505608598,551.3294467543437,551.3294467543437,546.9159321256336,1.683278937270791,1.448,1.6334,2.6096,1.448,87.21571058230731,86.5743,86.93,91.0242,86.5743,125.6067765613542,125.417,125.726,125.726,125.207,1519.215804880758,1414.52,1553.142,1685.603,1304.515,0.2807627320211902,0.28057,0.28091,0.28091,0.28008,-0.1522812089731462,-0.152545,-0.152205,-0.152015,-0.152545,0.04129515223402303,0.04147,0.04123,0.04147,0.0412
pyrmd2,ClC1=CC(Cl)=NC(CC2=CC=CC=C2)=N1,-0.30477,-0.30477,-0.30477,-0.30477,-0.30477,-0.0314,-0.0314,-0.0314,-0.0314,-0.0314,0.8465777597593028,0.8468777226911464,0.8462777968274593,0.8468777226911464,0.8462777968274593,422.0919496778155,421.8319469880212,422.3519523676097,422.3519523676097,421.8319469880212,635.1620892425856,634.9127927439674,635.4113857412038,635.4113857412038,634.9127927439674,0.2811,0.2811,0.2811,0.2811,0.2811,65.55170000000001,65.5485,65.5549,65.5549,65.5485,160.861,160.861,160.861,160.861,160.861,1811.6695,1811.602,1811.737,1811.737,1811.602,0.27337,0.27337,0.27337,0.27337,0.27337,-0.168085,-0.168085,-0.168085,-0.168085,-0.168085,0.05167,0.05167,0.05167,0.05167,0.05167
pyrmd3,ClC1=NC=C(CC)C=N1,-0.3251834148211471,-0.32445,-0.32559,-0.32445,-0.32559,-0.02689181014078487,-0.02639,-0.02717,-0.02639,-0.02717,0.9023686425488604,0.9033265075408377,0.9018376283153726,0.9033265075408377,0.9018376283153726,306.403009230532,305.0905875790386,307.130580008374,307.130580008374,305.0905875790386,432.3033906959799,430.2136235362464,433.4619006277429,433.4619006277429,430.2136235362464,4.704279653603328,4.7874,4.6582,4.7874,4.6582,65.07795817749937,66.5702,64.2507,66.5702,64.2507,93.97685233555063,93.7953,94.0775,94.0775,93.7953,1141.693115094525,1192.08,1113.76,1192.08,1113.76,0.2982916046803623,0.29806,0.29842,0.29842,0.29806,-0.176037612480966,-0.17542,-0.17638,-0.17542,-0.17638,0.05194167316716979,0.05162,0.05212,0.05212,0.05162
pyrmd4,ClC1=NC(C#N)=NC(C)=C1,-0.35781,-0.35781,-0.35781,-0.35781,-0.35781,-0.06031,-0.06031,-0.06031,-0.06031,-0.06031,0.8881427352266783,0.8881427352266783,0.8881427352266783,0.8881427352266783,0.8881427352266783,316.7905648217679,316.7905648217679,316.7905648217679,316.7905648217679,316.7905648217679,443.7683474914424,443.7683474914424,443.7683474914424,443.7683474914424,443.7683474914424,6.1559,6.1559,6.1559,6.1559,6.1559,67.1022,67.1022,67.1022,67.1022,67.1022,99.2002,99.2002,99.2002,99.2002,99.2002,1157.94,1157.94,1157.94,1157.94,1157.94,0.2975,0.2975,0.2975,0.2975,0.2975,-0.20906,-0.20906,-0.20906,-0.20906,-0.20906,0.07346,0.07346,0.07346,0.07346,0.07346
pyrmd5,O=CC(C=N1)=C(C)N=C1C2=CC=CC=C2,-0.3003980611473174,-0.30057,-0.30057,-0.29946,-0.30057,-0.06427219172394585,-0.06395,-0.06395,-0.06395,-0.06603,0.8660672284745768,0.8665655093292124,0.8665655093292124,0.8665655093292124,0.8633487160331301,394.3045017113713,393.8615436015079,393.8615436015079,396.7211852373393,393.8615436015079,593.3989743409982,592.9134201387772,592.9134201387772,596.0480529227942,592.9134201387772,1.973273309311588,1.7974,1.7974,2.9328,1.7974,155.979318289326,156.317,156.317,156.317,154.137,164.7535574363648,164.796,164.796,164.796,164.522,1740.490433844532,1691.056,1691.056,2010.194,1691.056,0.2361258694233715,0.23662,0.23662,0.23662,0.23343,-0.1823351264356316,-0.18226,-0.18226,-0.18226,-0.182745,0.07039756582215742,0.07019,0.07019,0.07153,0.07019
pyrmd6,CC1=CN=C(Cl)N=C1,-0.32635,-0.32635,-0.32635,-0.32635,-0.32635,-0.02812,-0.02812,-0.02812,-0.02812,-0.02812,0.915435844116355,0.915435844116355,0.915435844116355,0.915435844116355,0.915435844116355,278.9606958285786,278.9606958285786,278.9606958285786,278.9606958285786,278.9606958285786,383.7339372974632,383.7339372974632,383.7339372974632,383.7339372974632,383.7339372974632,4.5537,4.5537,4.5537,4.5537,4.5537,60.5931,60.5931,60.5931,60.5931,60.5931,81.6478,81.6478,81.6478,81.6478,81.6478,1080.688,1080.688,1080.688,1080.688,1080.688,0.29823,0.29823,0.29823,0.29823,0.29823,-0.177235,-0.177235,-0.177235,-0.177235,-0.177235,0.05266,0.05266,0.05266,0.05266,0.05266
pyrmd7,ClC1=NC=C(C)C(OC)=N1,-0.31123,-0.31123,-0.31123,-0.31123,-0.31123,-0.00862,-0.00862,-0.00862,-0.00862,-0.00862,0.8910149903261232,0.8910149903261232,0.8910149903261232,0.8910149903261232,0.8910149903261232,322.4605885941127,322.4605885941127,322.4605885941127,322.4605885941127,322.4605885941127,457.9481329626105,457.9481329626105,457.9481329626105,457.9481329626105,457.9481329626105,3.8495,3.8495,3.8495,3.8495,3.8495,61.5001,61.5001,61.5001,61.5001,61.5001,99.4464,99.4464,99.4464,99.4464,99.4464,1243.71,1243.71,1243.71,1243.71,1243.71,0.30261,0.30261,0.30261,0.30261,0.30261,-0.159925,-0.159925,-0.159925,-0.159925,-0.159925,0.04226,0.04226,0.04226,0.04226,0.04226
pyrz1,ClC1=C(C)N=C(C(OC)=O)C=N1,-0.3280907430635211,-0.32878,-0.3279,-0.3279,-0.32878,-0.05118797916449426,-0.051,-0.05124,-0.051,-0.05124,0.8750780231712223,0.8751458432125653,0.8750592548400393,0.8751458432125653,0.8750592548400393,355.8942028275379,355.8393696648746,355.9093772057348,355.9093772057348,355.8393696648746,516.8033827576421,516.7440195736001,516.8198107614608,516.8198107614608,516.7440195736001,2.296050239423071,1.2306,2.5909,2.5909,1.2306,87.49131717836784,88.9545,87.0864,88.9545,87.0864,116.0727789943409,116.184,116.042,116.184,116.042,1377.013253746932,1378.25,1376.671,1378.25,1376.671,0.2769027638990268,0.27778,0.27666,0.27778,0.27666,-0.1896393611140077,-0.18989,-0.18957,-0.18957,-0.18989,0.0649391623259363,0.0649,0.06495,0.06495,0.0649
pyrz2,ClC1=C(C)N=C(C(OC)=O)C(N)=N1,-0.2818345532937358,-0.28333,-0.28183,-0.28183,-0.28333,-0.04489571990388838,-0.04349,-0.0449,-0.04349,-0.0449,0.8702147479223847,0.8709712438716889,0.8702124445649647,0.8709712438716889,0.8702124445649647,369.7994531436545,369.8592190630688,369.7992711700774,369.8592190630688,369.7992711700774,542.8287856291615,543.6685497117172,542.8262287392901,543.6685497117172,542.8262287392901,1.38916381441583,3.4464,1.3829,3.4464,1.3829,98.46401612221295,100.21,98.4587,100.21,98.4587,130.2345156262421,129.747,130.236,130.236,129.747,1561.157855694738,1500.679,1561.342,1561.342,1500.679,0.2369388333898474,0.23984,0.23693,0.23984,0.23693,-0.1633651365988121,-0.16341,-0.163365,-0.163365,-0.16341,0.05631802690604783,0.05567,0.05632,0.05632,0.05567
pyrz3,CC1=NC=C(C(OC)=O)N=C1,-0.3237152210283321,-0.32533,-0.32334,-0.32334,-0.32533,-0.04283925913913743,-0.04275,-0.04286,-0.04275,-0.04286,0.8835595507320181,0.8835090055130198,0.8835712957629992,0.8835712957629992,0.8835090055130198,332.985436046886,333.1396131397626,332.9496104086101,333.1396131397626,332.9496104086101,474.5318996306761,474.8207610302745,474.4647778305385,474.8207610302745,474.4647778305385,2.177792688690063,2.2492,2.1612,2.2492,2.1612,74.59025644973042,75.0045,74.494,75.0045,74.494,102.114360254072,102.103,102.117,102.117,102.103,1099.579368939261,1163.566,1084.711,1163.566,1084.711,0.2808759618891947,0.28258,0.28048,0.28258,0.28048,-0.1832772400837347,-0.18404,-0.1831,-0.1831,-0.18404,0.05979205405769672,0.05993,0.05976,0.05993,0.05976
